timestamp,pm10,pm25,aqi,hour_sin,hour_cos,day_of_week,is_weekend,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_6,aqi_lag_24,aqi_rolling_mean_6,aqi_rolling_std_6
2026-07-17 10:00:00,45.4,23.9,69,0.49999999999999994,-0.8660254037844387,4,0,69.0,69.0,69.0,70.0,70.0,69.33333333333333,0.5163977794943192
2026-07-17 11:00:00,45.1,24.6,69,0.258819045102521,-0.9659258262890682,4,0,69.0,69.0,69.0,70.0,70.0,69.16666666666667,0.40824829046386546
2026-07-17 12:00:00,44.2,21.0,69,1.2246467991473532e-16,-1.0,4,0,69.0,69.0,69.0,70.0,70.0,69.0,0.0
2026-07-17 13:00:00,41.8,19.9,69,-0.2588190451025208,-0.9659258262890683,4,0,69.0,69.0,69.0,69.0,70.0,69.0,0.0
2026-07-17 14:00:00,43.2,20.7,68,-0.4999999999999997,-0.8660254037844388,4,0,69.0,69.0,69.0,69.0,70.0,68.83333333333333,0.40824829046386185
2026-07-17 15:00:00,42.5,20.5,68,-0.7071067811865471,-0.7071067811865479,4,0,68.0,69.0,69.0,69.0,70.0,68.66666666666667,0.5163977794943192
2026-07-17 16:00:00,43.0,21.0,68,-0.8660254037844385,-0.5000000000000004,4,0,68.0,68.0,69.0,69.0,70.0,68.5,0.5477225575051617
2026-07-17 17:00:00,44.7,20.8,69,-0.9659258262890683,-0.25881904510252063,4,0,68.0,68.0,68.0,69.0,71.0,68.5,0.5477225575051617
2026-07-17 18:00:00,41.2,19.8,69,-1.0,-1.8369701987210297e-16,4,0,69.0,68.0,68.0,69.0,71.0,68.5,0.5477225575051617
2026-07-17 19:00:00,39.2,18.5,69,-0.9659258262890684,0.2588190451025203,4,0,69.0,69.0,68.0,69.0,71.0,68.5,0.5477225575051617
2026-07-17 20:00:00,36.4,16.9,69,-0.8660254037844386,0.5000000000000001,4,0,69.0,69.0,69.0,68.0,71.0,68.66666666666667,0.5163977794943192
2026-07-17 21:00:00,30.5,14.8,69,-0.7071067811865477,0.7071067811865474,4,0,69.0,69.0,69.0,68.0,71.0,68.83333333333333,0.40824829046386546
2026-07-17 22:00:00,27.5,13.3,68,-0.5000000000000004,0.8660254037844384,4,0,69.0,69.0,69.0,68.0,71.0,68.83333333333333,0.40824829046386185
2026-07-17 23:00:00,27.2,13.5,68,-0.25881904510252157,0.9659258262890681,4,0,68.0,69.0,69.0,69.0,71.0,68.66666666666667,0.5163977794943192
2026-07-18 00:00:00,24.9,11.7,68,0.0,1.0,5,1,68.0,68.0,69.0,69.0,71.0,68.5,0.5477225575051617
2026-07-18 01:00:00,25.0,12.2,68,0.25881904510252074,0.9659258262890683,5,1,68.0,68.0,68.0,69.0,70.0,68.33333333333333,0.5163977794943192
2026-07-18 02:00:00,24.6,12.6,68,0.49999999999999994,0.8660254037844387,5,1,68.0,68.0,68.0,69.0,70.0,68.16666666666667,0.40824829046386546
2026-07-18 03:00:00,24.7,13.4,68,0.7071067811865476,0.7071067811865476,5,1,68.0,68.0,68.0,69.0,70.0,68.0,0.0
2026-07-18 04:00:00,27.9,15.5,68,0.8660254037844386,0.5000000000000001,5,1,68.0,68.0,68.0,68.0,70.0,68.0,0.0
2026-07-18 05:00:00,30.0,16.4,68,0.9659258262890683,0.25881904510252074,5,1,68.0,68.0,68.0,68.0,70.0,68.0,0.0
2026-07-18 06:00:00,30.6,16.8,67,1.0,6.123233995736766e-17,5,1,68.0,68.0,68.0,68.0,70.0,67.83333333333333,0.40824829046386185
2026-07-18 07:00:00,31.5,17.4,67,0.9659258262890683,-0.25881904510252063,5,1,67.0,68.0,68.0,68.0,69.0,67.66666666666667,0.5163977794943192
2026-07-18 08:00:00,29.6,16.6,67,0.8660254037844387,-0.4999999999999998,5,1,67.0,67.0,68.0,68.0,69.0,67.5,0.5477225575051617
2026-07-18 09:00:00,28.6,16.9,66,0.7071067811865476,-0.7071067811865475,5,1,67.0,67.0,67.0,68.0,69.0,67.16666666666667,0.7527726527090799
2026-07-18 10:00:00,28.6,16.5,66,0.49999999999999994,-0.8660254037844387,5,1,66.0,67.0,67.0,68.0,69.0,66.83333333333333,0.7527726527090799
2026-07-18 11:00:00,29.3,16.2,65,0.258819045102521,-0.9659258262890682,5,1,66.0,66.0,67.0,68.0,69.0,66.33333333333333,0.8164965809277215
2026-07-18 12:00:00,24.0,11.9,65,1.2246467991473532e-16,-1.0,5,1,65.0,66.0,66.0,67.0,69.0,66.0,0.8944271909999073
2026-07-18 13:00:00,27.5,13.4,64,-0.2588190451025208,-0.9659258262890683,5,1,65.0,65.0,66.0,67.0,69.0,65.5,1.048808848170136
2026-07-18 14:00:00,31.2,15.3,63,-0.4999999999999997,-0.8660254037844388,5,1,64.0,65.0,65.0,67.0,68.0,64.83333333333333,1.169045194449992
2026-07-18 15:00:00,32.4,16.4,63,-0.7071067811865471,-0.7071067811865479,5,1,63.0,64.0,65.0,66.0,68.0,64.33333333333333,1.2110601416389748
2026-07-18 16:00:00,33.9,17.0,63,-0.8660254037844385,-0.5000000000000004,5,1,63.0,63.0,64.0,66.0,68.0,63.833333333333336,0.9831920802501449
2026-07-18 17:00:00,32.2,16.5,62,-0.9659258262890683,-0.25881904510252063,5,1,63.0,63.0,63.0,65.0,69.0,63.333333333333336,1.032795558988613
2026-07-18 18:00:00,31.1,15.7,62,-1.0,-1.8369701987210297e-16,5,1,62.0,63.0,63.0,65.0,69.0,62.833333333333336,0.7527726527090336
2026-07-18 19:00:00,31.2,15.6,62,-0.9659258262890684,0.2588190451025203,5,1,62.0,62.0,63.0,64.0,69.0,62.5,0.5477225575050974
2026-07-18 20:00:00,31.4,15.5,62,-0.8660254037844386,0.5000000000000001,5,1,62.0,62.0,62.0,63.0,69.0,62.333333333333336,0.5163977794942467
2026-07-18 21:00:00,31.5,15.0,61,-0.7071067811865477,0.7071067811865474,5,1,62.0,62.0,62.0,63.0,69.0,62.0,0.6324555320336125
2026-07-18 22:00:00,30.7,14.4,61,-0.5000000000000004,0.8660254037844384,5,1,61.0,62.0,62.0,63.0,68.0,61.666666666666664,0.5163977794942434
2026-07-18 23:00:00,30.3,13.8,62,-0.25881904510252157,0.9659258262890681,5,1,61.0,61.0,62.0,62.0,68.0,61.666666666666664,0.5163977794942434
2026-07-19 00:00:00,36.9,15.8,62,0.0,1.0,6,1,62.0,61.0,61.0,62.0,68.0,61.666666666666664,0.5163977794942434
2026-07-19 01:00:00,38.0,16.6,62,0.25881904510252074,0.9659258262890683,6,1,62.0,62.0,61.0,62.0,68.0,61.666666666666664,0.5163977794942434
2026-07-19 02:00:00,39.0,16.9,62,0.49999999999999994,0.8660254037844387,6,1,62.0,62.0,62.0,62.0,68.0,61.666666666666664,0.5163977794942434
2026-07-19 03:00:00,39.5,17.2,63,0.7071067811865476,0.7071067811865476,6,1,62.0,62.0,62.0,61.0,68.0,62.0,0.6324555320336125
2026-07-19 04:00:00,38.9,17.3,63,0.8660254037844386,0.5000000000000001,6,1,63.0,62.0,62.0,61.0,68.0,62.333333333333336,0.5163977794942434
2026-07-19 05:00:00,35.7,16.4,63,0.9659258262890683,0.25881904510252074,6,1,63.0,63.0,62.0,62.0,68.0,62.5,0.5477225575050899
2026-07-19 06:00:00,29.2,14.7,63,1.0,6.123233995736766e-17,6,1,63.0,63.0,63.0,62.0,67.0,62.666666666666664,0.5163977794942389
2026-07-19 07:00:00,24.6,13.3,63,0.9659258262890683,-0.25881904510252063,6,1,63.0,63.0,63.0,62.0,67.0,62.833333333333336,0.4082482904637556
2026-07-19 08:00:00,21.4,12.0,62,0.8660254037844387,-0.4999999999999998,6,1,63.0,63.0,63.0,62.0,67.0,62.833333333333336,0.4082482904638636
2026-07-19 09:00:00,20.4,11.0,62,0.7071067811865476,-0.7071067811865475,6,1,62.0,63.0,63.0,63.0,66.0,62.666666666666664,0.5163977794943242
2026-07-19 10:00:00,20.4,10.8,62,0.49999999999999994,-0.8660254037844387,6,1,62.0,62.0,63.0,63.0,66.0,62.5,0.5477225575051704
2026-07-19 11:00:00,20.0,10.2,61,0.258819045102521,-0.9659258262890682,6,1,62.0,62.0,62.0,63.0,65.0,62.166666666666664,0.7527726527090869
2026-07-19 12:00:00,25.9,11.7,61,1.2246467991473532e-16,-1.0,6,1,61.0,62.0,62.0,63.0,65.0,61.833333333333336,0.7527726527090903
2026-07-19 13:00:00,26.7,12.3,61,-0.2588190451025208,-0.9659258262890683,6,1,61.0,61.0,62.0,63.0,64.0,61.5,0.5477225575051846
2026-07-19 14:00:00,25.1,12.7,61,-0.4999999999999997,-0.8660254037844388,6,1,61.0,61.0,61.0,62.0,63.0,61.333333333333336,0.5163977794943438
2026-07-19 15:00:00,26.2,13.0,60,-0.7071067811865471,-0.7071067811865479,6,1,61.0,61.0,61.0,62.0,63.0,61.0,0.6324555320336945
2026-07-19 16:00:00,27.3,12.7,60,-0.8660254037844385,-0.5000000000000004,6,1,60.0,61.0,61.0,62.0,63.0,60.666666666666664,0.5163977794943438
2026-07-19 17:00:00,25.7,12.1,60,-0.9659258262890683,-0.25881904510252063,6,1,60.0,60.0,61.0,61.0,62.0,60.5,0.5477225575051847
2026-07-19 18:00:00,23.7,11.3,59,-1.0,-1.8369701987210297e-16,6,1,60.0,60.0,60.0,61.0,62.0,60.166666666666664,0.7527726527090903
2026-07-19 19:00:00,22.5,10.5,59,-0.9659258262890684,0.2588190451025203,6,1,59.0,60.0,60.0,61.0,62.0,59.833333333333336,0.7527726527090842
2026-07-19 20:00:00,23.3,10.4,59,-0.8660254037844386,0.5000000000000001,6,1,59.0,59.0,60.0,61.0,62.0,59.5,0.5477225575051622
2026-07-19 21:00:00,22.8,10.3,58,-0.7071067811865477,0.7071067811865474,6,1,59.0,59.0,59.0,60.0,61.0,59.166666666666664,0.7527726527090718
2026-07-19 22:00:00,21.2,9.5,58,-0.5000000000000004,0.8660254037844384,6,1,58.0,59.0,59.0,60.0,61.0,58.833333333333336,0.7527726527090657
2026-07-19 23:00:00,21.3,9.1,58,-0.25881904510252157,0.9659258262890681,6,1,58.0,58.0,59.0,60.0,62.0,58.5,0.5477225575051367
2026-07-20 00:00:00,19.7,8.4,57,0.0,1.0,0,0,58.0,58.0,58.0,59.0,62.0,58.166666666666664,0.7527726527090532
2026-07-20 01:00:00,23.6,10.1,57,0.25881904510252074,0.9659258262890683,0,0,57.0,58.0,58.0,59.0,62.0,57.833333333333336,0.7527726527090473
2026-07-20 02:00:00,25.7,11.7,56,0.49999999999999994,0.8660254037844387,0,0,57.0,57.0,58.0,59.0,62.0,57.333333333333336,0.8164965809276866
